id,year,ring
41170,1865,141
41170,1866,162
41170,1867,165
41170,1868,86
41170,1869,125
41170,1870,57
41170,1871,120
41170,1872,110
41170,1873,147
41170,1874,106
41170,1875,114
41170,1876,88
41170,1877,60
41170,1878,110
41170,1879,116
41170,1880,101
41170,1881,93
41170,1882,102
41170,1883,127
41170,1884,87
41170,1885,61
41170,1886,65
41170,1887,78
41170,1888,90
41170,1889,117
41170,1890,100
41170,1891,114
41170,1892,82
41170,1893,61
41170,1894,98
41170,1895,113
41170,1896,111
41170,1897,115
41170,1898,152
41170,1899,75
41170,1900,81
41170,1901,70
41170,1902,71
41170,1903,70
41170,1904,77
41170,1905,54
41170,1906,77
41170,1907,51
41170,1908,64
41170,1909,78
41170,1910,169
41170,1911,147
41170,1912,37
41170,1913,67
41170,1914,85
41170,1915,78
41170,1916,87
41170,1917,84
41170,1918,67
41170,1919,45
41170,1920,58
41170,1921,77
41170,1922,83
41170,1923,138
41170,1924,112
41170,1925,127
41170,1926,218
41170,1927,277
41170,1928,195
41170,1929,104
41170,1930,107
41170,1931,162
41170,1932,128
41170,1933,78
41170,1934,36
41170,1935,60
41170,1936,64
41170,1937,50
41170,1938,38
41170,1939,80
41170,1940,91
41170,1941,91
41170,1942,85
41170,1943,65
41170,1944,73
41170,1945,67
41170,1946,72
41170,1947,64
41170,1948,28
41170,1949,50
41170,1950,51
41170,1951,74
41170,1952,59
41170,1953,49
41170,1954,63
41170,1955,116
41170,1956,157
41170,1957,113
41170,1958,156
41170,1959,87
41170,1960,60
41170,1961,73
41170,1962,49
41170,1963,39
41170,1964,74
41170,1965,93
41170,1966,83
41170,1967,94
41170,1968,75
41170,1969,108
41170,1970,96
41170,1971,81
41170,1972,132
41170,1973,111
41170,1974,56
41170,1975,50
41170,1976,38
41170,1977,39
41170,1978,49
41170,1979,106
41170,1980,180
41170,1981,145
41170,1982,161
41170,1983,131
41170,1984,66
41170,1985,63
41170,1986,45
41170,1987,101
41170,1988,103
41170,1989,109
41170,1990,130
41170,1991,112
41170,1992,106
41170,1993,94
41170,1994,99
41170,1995,84
41170,1996,64
41170,1997,72
41170,1998,64
41170,1999,95
41170,2000,72
41170,2001,88
41170,2002,82
41170,2003,56
41170,2004,59
41170,2005,60
41170,2006,55
41170,2007,145
41170,2008,94
41170,2009,87
41170,2010,81
41170,2011,30
41170,2012,93
41170,2013,55
41171,1867,225
41171,1868,104
41171,1869,221
41171,1870,52
41171,1871,185
41171,1872,132
41171,1873,148
41171,1874,118
41171,1875,148
41171,1876,118
41171,1877,109
41171,1878,187
41171,1879,200
41171,1880,167
41171,1881,117
41171,1882,134
41171,1883,131
41171,1884,92
41171,1885,60
41171,1886,131
41171,1887,86
41171,1888,103
41171,1889,123
41171,1890,135
41171,1891,143
41171,1892,96
41171,1893,53
41171,1894,88
41171,1895,102
41171,1896,60
41171,1897,80
41171,1898,100
41171,1899,60
41171,1900,73
41171,1901,62
41171,1902,62
41171,1903,67
41171,1904,91
41171,1905,67
41171,1906,87
41171,1907,60
41171,1908,75
41171,1909,66
41171,1910,106
41171,1911,92
41171,1912,55
41171,1913,87
41171,1914,117
41171,1915,128
41171,1916,179
41171,1917,207
41171,1918,223
41171,1919,116
41171,1920,125
41171,1921,143
41171,1922,130
41171,1923,142
41171,1924,153
41171,1925,129
41171,1926,171
41171,1927,177
41171,1928,132
41171,1929,70
41171,1930,78
41171,1931,116
41171,1932,126
41171,1933,124
41171,1934,74
41171,1935,99
41171,1936,113
41171,1937,89
41171,1938,93
41171,1939,117
41171,1940,129
41171,1941,95
41171,1942,70
41171,1943,50
41171,1944,66
41171,1945,54
41171,1946,46
41171,1947,55
41171,1948,18
41171,1949,80
41171,1950,55
41171,1951,116
41171,1952,120
41171,1953,106
41171,1954,121
41171,1955,176
41171,1956,161
41171,1957,169
41171,1958,216
41171,1959,136
41171,1960,94
41171,1961,121
41171,1962,94
41171,1963,95
41171,1964,97
41171,1965,107
41171,1966,91
41171,1967,103
41171,1968,97
41171,1969,144
41171,1970,112
41171,1971,161
41171,1972,207
41171,1973,217
41171,1974,192
41171,1975,243
41171,1976,159
41171,1977,136
41171,1978,168
41171,1979,162
41171,1980,167
41171,1981,134
41171,1982,187
41171,1983,191
41171,1984,96
41171,1985,121
41171,1986,99
41171,1987,195
41171,1988,139
41171,1989,109
41171,1990,73
41171,1991,68
41171,1992,94
41171,1993,131
41171,1994,178
41171,1995,146
41171,1996,129
41171,1997,180
41171,1998,186
41171,1999,138
41171,2000,120
41171,2001,151
41171,2002,166
41171,2003,89
41171,2004,35
41171,2005,61
41171,2006,37
41171,2007,28
41171,2008,50
41171,2009,48
41171,2010,34
41171,2011,22
41171,2012,49
41171,2013,64
41172,1880,173
41172,1881,131
41172,1882,150
41172,1883,164
41172,1884,163
41172,1885,101
41172,1886,166
41172,1887,125
41172,1888,132
41172,1889,160
41172,1890,132
41172,1891,161
41172,1892,154
41172,1893,99
41172,1894,181
41172,1895,175
41172,1896,130
41172,1897,109
41172,1898,123
41172,1899,71
41172,1900,64
41172,1901,72
41172,1902,58
41172,1903,115
41172,1904,113
41172,1905,88
41172,1906,99
41172,1907,80
41172,1908,84
41172,1909,93
41172,1910,130
41172,1911,106
41172,1912,54
41172,1913,71
41172,1914,82
41172,1915,82
41172,1916,99
41172,1917,122
41172,1918,110
41172,1919,64
